Tipo de contrato,Procedimiento de adjudicación,Criterios de adjudicación,Entidad impulsora,Duración del contrato,Importe de adjudicación,Presupuesto sin IVA,¿Caracter plurianual?,CPV,División en lotes,Nº de licitadores presentados,¿UTE?
Servicios,Negociado con Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,30239.0,48360.0,1,71,0,Menos de 5 licitadores,0
Obras,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,312691.25,367869.22,1,45,0,Menos de 5 licitadores,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",1-3 años,38250.0,42120.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Planificación Territorial, Vivienda y Transportes",Menos de 1 año,64500.0,107438.01,1,71,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Trabajo y Empleo,Menos de 1 año,33950.0,35000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Trabajo y Empleo,1-3 años,55023.84,59504.14,1,90,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Trabajo y Empleo,1-3 años,99087.12,107438.02,1,90,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Trabajo y Empleo,Menos de 1 año,53960.0,65291.6,0,38,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Trabajo y Empleo,Menos de 1 año,35614.7,35615.0,0,39,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Trabajo y Empleo,1-3 años,280000.0,338800.0,1,63,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Trabajo y Empleo,Menos de 1 año,59300.0,71753.0,1,92,0,Menos de 5 licitadores,0
Servicios,Restringido,Pluralidad de criterios,Seguridad,1-3 años,553080.0,768000.0,1,72,0,Menos de 5 licitadores,1
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,272930.0,284410.0,1,80,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,495867.77,600000.0,1,18,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,495867.77,600000.0,0,18,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,495867.77,600000.0,0,18,0,Menos de 5 licitadores,1
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,495867.77,600000.0,1,18,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,495867.77,600000.0,1,18,0,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Seguridad,Menos de 1 año,248440.0,331498.32,0,45,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Seguridad,Menos de 1 año,362003.53,438024.27,0,30,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,486124.95,494214.88,0,35,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,347107.0,420000.0,1,72,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,500000.0,500000.0,1,50,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,500000.0,500000.0,1,50,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,653400.0,790614.0,1,72,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Otros,Seguridad,1-3 años,333388.43,403400.0,1,38,0,Menos de 5 licitadores,0
Servicios,Restringido,Pluralidad de criterios,Seguridad,1-3 años,439985.0,1190064.0,1,50,1,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,743801.65,900000.0,0,72,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,495867.77,600000.0,1,18,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,315518.0,315600.0,1,32,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Otros,Seguridad,1-3 años,495867.77,600000.0,1,33,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,33594.68,38400.0,0,32,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Seguridad,Menos de 1 año,204132.23,204132.24,0,09,1,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,23197.6,28069.1,0,48,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,66560.0,80537.6,0,32,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,58387.64,70649.04,0,48,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,243975.0,243975.0,1,80,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,70100.0,84821.0,1,80,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,189739.0,189739.03,0,48,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,199619.68,241539.81,1,48,0,Menos de 5 licitadores,0
Obras,Abierto,Mejor precio,Seguridad,Menos de 1 año,120105.53,147176.06,0,45,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,60000.0,72600.0,1,18,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,82644.63,100000.0,0,18,0,Menos de 5 licitadores,0
Suministros,Abierto,Mejor precio,Seguridad,1-3 años,49586.8,60000.0,1,44,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,82644.63,100000.0,0,18,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,60000.0,72600.0,0,18,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Otros,Seguridad,Menos de 1 año,52369.0,53000.0,0,38,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,60000.0,72000.0,0,35,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,60000.0,72600.0,0,35,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,57851.241,82644.63,1,43,1,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,30050.0,36360.5,0,44,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,60000.0,72600.0,0,18,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,97610.0,118108.1,0,38,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,35700.0,43197.0,1,71,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,121500.0,147015.0,0,35,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,130578.0,157999.38,0,33,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,70000.0,70000.0,0,50,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,34875.0,34875.0,0,48,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,220797.6,267165.1,1,45,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,56159.0,148760.33,1,31,1,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,192346.28,196572.59,0,45,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,160000.0,160000.0,1,85,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,3-6 años,171900.83,208000.0,1,50,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,144628.0,175000.0,1,72,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,82644.63,100000.0,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,320661.22,328813.62,1,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,305084.74,369152.54,1,50,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,100079.0,247993.88,0,42,1,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,1-3 años,66765.6,67440.0,1,50,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,210617.0,243901.65,0,48,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,76687.60399999999,109553.72,1,18,1,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,140459.87,140495.87,1,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,39999.58,48399.5,0,92,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,225619.83,273000.0,1,50,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,45697.65,52962.81,0,44,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,36000.0,66115.7,0,79,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Otros,Seguridad,Menos de 1 año,247933.88,300000.0,0,18,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,206611.56,206611.57,0,18,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,136000.0,164560.0,1,50,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,200000.0,200000.0,0,34,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,80100.0,96921.0,1,35,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,240000.0,240000.0,1,80,0,Menos de 5 licitadores,1
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,59669.42,60000.0,0,45,0,Menos de 5 licitadores,0
Servicios,Restringido,Pluralidad de criterios,Seguridad,Menos de 1 año,24510.3,29657.46,0,35,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,24600.0,29766.0,0,73,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,20661.16,25000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,20000.0,20661.16,0,71,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,44175.78,45454.55,0,34,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,32062.14,33057.85,0,31,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,23800.0,24793.39,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,44165.0,49586.78,0,48,1,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Otros,Seguridad,Menos de 1 año,48750.0,49752.07,0,79,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,44462.8,49545.45,0,31,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,156198.34999999998,223140.5,1,39,1,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,110000.0,133100.0,0,35,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,247933.88,300000.0,1,34,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,247933.88,300000.0,0,79,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,60000.0,72600.0,0,35,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,49785.79,51000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,165289.26,200000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,32000.0,38720.0,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,1-3 años,132410.0,142410.0,1,92,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,42500.0,51425.0,0,80,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,56400.0,59900.0,0,72,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,24793.39,30000.0,0,79,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,25413.22,30750.0,0,18,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,185950.41,225000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,39952.0,45454.55,0,72,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,56436.26,57024.79,0,72,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,1-3 años,57576.0,59100.0,0,72,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Economía y Hacienda,1-3 años,33476.86,40507.0,0,48,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,108213.92,109917.36,0,50,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,1-3 años,32854.95,33884.3,0,72,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Economía y Hacienda,Menos de 1 año,89093.35,107802.95,0,48,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,1-3 años,32975.21,39900.0,0,72,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,24586.78,28925.62,0,72,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Cultura y Política Lingüística,1-3 años,49000.0,50000.0,1,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,33250.0,35000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,59000.0,71390.0,0,73,0,Menos de 5 licitadores,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,35900.0,36000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,29500.0,36000.0,0,92,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,59800.0,72358.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Cultura y Política Lingüística,1-3 años,119000.0,143990.0,1,85,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,53335.55,59995.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,32900.0,39809.0,0,79,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Cultura y Política Lingüística,Menos de 1 año,58000.0,58000.0,0,92,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Cultura y Política Lingüística,Menos de 1 año,80321.78,97189.35,0,22,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,31495.0,45500.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,50250.0,51000.0,0,71,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,3-6 años,147709.1,171250.0,1,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,72500.0,76000.0,0,79,0,Menos de 5 licitadores,0
Suministros,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,72433.28,105300.0,0,55,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,127949.44,128099.17,0,63,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Mejor precio,Cultura y Política Lingüística,Menos de 1 año,59000.0,59900.0,0,98,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,1-3 años,39974.47,48000.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,88671.79999999999,126674.0,0,75,1,5-10 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,42000.0,140000.0,1,80,1,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Gobernanza Pública y Autogobierno,Menos de 1 año,21487.6,26000.0,0,72,0,Menos de 5 licitadores,0
Servicios,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,3-6 años,318181.82,385000.0,1,80,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,40800.0,40800.0,1,80,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,3-6 años,330000.0,908653.85,1,79,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Turismo, Comercio y Consumo",1-3 años,389877.87,392561.98,0,80,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Turismo, Comercio y Consumo",Menos de 1 año,60000.0,72600.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Turismo, Comercio y Consumo",1-3 años,424500.0,425000.0,1,80,0,Menos de 5 licitadores,0
Suministros,Negociado Sin Publicidad,Mejor precio,Economía y Hacienda,Menos de 1 año,60000.0,72600.0,0,39,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,303268.8,309457.74,1,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,3-6 años,264462.81,320000.0,1,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,132231.4,132231.4,1,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,148760.0,148760.33,1,79,0,Menos de 5 licitadores,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,33057.85,41322.31,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,3-6 años,101640.0,165289.26,1,79,1,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,73650.06,74380.16,0,90,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,47500.0,49587.0,0,80,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,99480.0,120000.0,1,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,58133.0,59900.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,56470.59,60000.0,1,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,103305.0,115702.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,24760.0,24793.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,33057.85,40000.0,0,80,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,58950.0,59900.0,0,79,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,106938.02,107438.0,0,80,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,40000.0,48400.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,49586.78,60000.0,0,80,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,167352.0,173553.72,1,80,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Educación,3-6 años,512000.0,512000.0,1,92,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Educación,Menos de 1 año,60000.0,66000.0,0,55,0,Menos de 5 licitadores,0
Servicios,Abierto,Pluralidad de criterios,Presidencia del Gobierno - Lehendakaritza,Menos de 1 año,140495.0,140495.87,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Presidencia del Gobierno - Lehendakaritza,Menos de 1 año,58500.0,59900.0,0,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Presidencia del Gobierno - Lehendakaritza,Menos de 1 año,20000.0,24793.0,0,72,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Presidencia del Gobierno - Lehendakaritza,1-3 años,59340.0,71801.0,1,79,0,Menos de 5 licitadores,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Presidencia del Gobierno - Lehendakaritza,Menos de 1 año,35000.0,45636.0,0,79,0,Menos de 5 licitadores,0
Obras,Negociado Sin Publicidad,Pluralidad de criterios,Presidencia del Gobierno - Lehendakaritza,Menos de 1 año,158677.69,192000.0,0,45,0,Menos de 5 licitadores,0
