Tipo de contrato,Procedimiento de adjudicación,Criterios de adjudicación,Entidad impulsora,Duración del contrato,¿Caracter plurianual?,CPV,División en lotes,Nº de licitadores presentados,¿UTE?,Mediana Importe,Media Importe,Baja temeraria
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,18,0,Menos de 5 licitadores,1,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Obras,Abierto,Mejor precio,Seguridad,Menos de 1 año,0,45,0,Menos de 5 licitadores,0,155627.72,221686.36500306608,1
Suministros,Abierto,Mejor precio,Seguridad,Menos de 1 año,0,30,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,35,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,1,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,1,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Otros,Seguridad,1-3 años,1,38,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Restringido,Pluralidad de criterios,Seguridad,1-3 años,1,50,1,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,1,32,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Otros,Seguridad,1-3 años,1,33,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,32,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Mejor precio,Seguridad,Menos de 1 año,0,9,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,48,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,32,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,48,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,48,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,1,48,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Obras,Abierto,Mejor precio,Seguridad,Menos de 1 año,0,45,0,Menos de 5 licitadores,0,155627.72,221686.36500306608,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,1,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Mejor precio,Seguridad,1-3 años,1,44,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Otros,Seguridad,Menos de 1 año,0,38,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,35,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,35,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,43,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,1
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,44,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,38,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,35,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,33,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,48,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,1,45,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,31,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,1
Obras,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,45,0,Menos de 5 licitadores,0,155627.72,221686.36500306608,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,85,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,3-6 años,1,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,42,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,1
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,1-3 años,1,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,48,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,18,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,1
Servicios,Abierto,Mejor precio,Seguridad,1-3 años,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,92,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,1,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,44,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Suministros,Negociado Sin Publicidad,Otros,Seguridad,Menos de 1 año,0,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,18,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,34,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,1-3 años,1,35,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,80,0,Menos de 5 licitadores,1,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,45,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Restringido,Pluralidad de criterios,Seguridad,Menos de 1 año,0,35,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,73,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,34,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,31,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,48,1,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Otros,Seguridad,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,31,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,39,1,Menos de 5 licitadores,0,80587.3,150645.40711888112,1
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,35,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Abierto,Pluralidad de criterios,Seguridad,1-3 años,1,34,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,35,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Seguridad,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Seguridad,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Mejor precio,Seguridad,Menos de 1 año,0,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,1-3 años,1,92,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,0,18,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,1-3 años,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Economía y Hacienda,1-3 años,0,48,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,0,50,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,1-3 años,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Economía y Hacienda,Menos de 1 año,0,48,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,1-3 años,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Mejor precio,Cultura y Política Lingüística,1-3 años,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,73,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,92,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Mejor precio,Cultura y Política Lingüística,1-3 años,1,85,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Cultura y Política Lingüística,Menos de 1 año,0,92,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Suministros,Negociado Sin Publicidad,Mejor precio,Cultura y Política Lingüística,Menos de 1 año,0,22,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,71,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,3-6 años,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,55,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,1
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,63,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Mejor precio,Cultura y Política Lingüística,Menos de 1 año,0,98,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Cultura y Política Lingüística,1-3 años,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Cultura y Política Lingüística,Menos de 1 año,0,75,1,5-10 licitadores,0,66656.0,125645.5136095493,1
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,1,80,1,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Gobernanza Pública y Autogobierno,Menos de 1 año,0,72,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Mejor precio,Gobernanza Pública y Autogobierno,3-6 años,1,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,Gobernanza Pública y Autogobierno,1-3 años,1,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Gobernanza Pública y Autogobierno,3-6 años,1,79,1,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Abierto,Pluralidad de criterios,"Turismo, Comercio y Consumo",1-3 años,0,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Turismo, Comercio y Consumo",Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,"Turismo, Comercio y Consumo",1-3 años,1,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Suministros,Negociado Sin Publicidad,Mejor precio,Economía y Hacienda,Menos de 1 año,0,39,0,Menos de 5 licitadores,0,80587.3,150645.40711888112,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,3-6 años,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado con Publicidad,Pluralidad de criterios,Economía y Hacienda,Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,3-6 años,1,79,1,Menos de 5 licitadores,0,66656.0,125645.5136095493,1
Servicios,Abierto,Pluralidad de criterios,Economía y Hacienda,1-3 años,0,90,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",1-3 años,0,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,1,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,0,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Negociado Sin Publicidad,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,0,79,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
Servicios,Abierto,Pluralidad de criterios,"Igualdad, Justicia y Políticas Sociales",Menos de 1 año,0,80,0,Menos de 5 licitadores,0,66656.0,125645.5136095493,0
